Time,value
10:21,1
10:21,1
10:21,1
10:21,1
10:21,1
10:21,1
10:21,1
10:21,1
10:21,0
10:21,0
10:21,0
10:21,0
10:21,0
10:21,1
10:21,1
10:21,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,0
10:22,0
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,0
10:22,0
10:22,0
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,1
10:22,0
10:22,0
10:22,0
10:22,0
10:22,0
10:22,0
10:22,1
10:22,1
10:22,1
10:22,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,0
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:23,1
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,0
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:24,1
10:25,1
10:25,1
10:25,1
10:25,1
10:25,0
10:25,0
10:25,0
10:25,0
10:25,1
10:25,1
10:31,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:32,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:33,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,1
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:34,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,0
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:35,1
10:36,1
10:36,1
10:36,1
10:36,1
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:36,0
10:37,0
10:37,0
10:37,0
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,0
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,1
10:37,0
10:37,0
10:37,0
10:37,0
10:37,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,0
10:38,0
10:38,0
10:38,0
10:38,0
10:38,0
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,0
10:38,0
10:38,0
10:38,0
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,1
10:38,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,1
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:39,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:40,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:41,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:42,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:43,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,1
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:44,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
10:45,0
